Kanji,Furigana,Meaning,Level
打ち合わせ,うちあわせ,"business meeting, previous arrangement, appointment",N1
打ち合わせる,うちあわせる,"to knock together, to arrange",N1
打ち切る,うちきる,"to stop, to abort, to discontinue, to close",N1
打ち消し,うちけし,"negation, denial, negative",N1
打ち込む,うちこむ,"to drive in (e.g. nail stake), to devote oneself to, to shoot into, to smash, to throw into, to cast int",N1
団扇,うちわ,fan,N1
内訳,うちわけ,"the items, breakdown, classification",N1
訴え,うったえ,"lawsuit, complaint",N1
鬱陶しい,うっとうしい,"gloomy, depressing",N1
写し,うつし,"copy, duplicate, facsimile, transcript",N1
空ろ,うつろ,"blank, cavity, hollow, empty (space)",N1
器,うつわ,"bowl, vessel, container",N1
雨天,うてん,rainy weather,N1
腕前,うでまえ,"ability, skill, facility",N1
饂飩,うどん,noodles (Japanese),N1
促す,うながす,"to urge, to press, to suggest, to demand, to stimulate, to quicken, to incite, to invite (attention to)",N1
唸る,うなる,"to groan, to moan, to roar, to howl, to growl, to hum, to buzz, to sough",N1
自惚れ,うぬぼれ,"pretension, conceit, hubris",N1
甘い,うまい,delicious,N1
生まれつき,うまれつき,"by nature, by birth, native",N1
海路,うみじ,sea route,N1
産む,うむ,"to give birth, to deliver, to produce",N1
埋め込む,うめこむ,to bury,N1
梅干,うめぼし,dried plum,N1
末,うら,"top end, tip",N1
裏返し,うらがえし,"inside out, upside down",N1
売り出し,うりだし,(bargain) sale,N1
売り出す,うりだす,"to put on sale, to market, to become popular",N1
潤う,うるおう,"to be moist, to be damp, to get wet, to profit by, to be watered, to receive benefits, to favor, to charm, t",N1
五月蝿い,うるさい,"noisy, loud, fussy",N1
売れ行き,うれゆき,sales,N1
浮気,うわき,"flighty, fickle, wanton, unfaithful",N1
上手,うわて,"1. upper part, upper stream, left side (of a stage), 2. skillful (only in comparisons), dexterity (on",N1
上回る,うわまわる,to exceed,N1
植わる,うわる,to be planted,N1
運営,うんえい,"management, administration, operation",N1
,うんざり,"tedious, boring, being fed up with",N1
運送,うんそう,"shipping, marine transportation",N1
運賃,うんちん,"freight rates, shipping expenses, fare",N1
云々,うんぬん,"and so on, and so forth, comment",N1
運搬,うんぱん,"transport, carriage",N1
運命,うんめい,fate,N1
運輸,うんゆ,transportation,N1
運用,うんよう,"making use of, application, investment, practical use",N1
会,え,understanding,N1
重,え,"-fold, -ply",N1
,えい,ray (fish),N1
映写,えいしゃ,projection,N1
英字,えいじ,English letter (character),N1
衛生,えいせい,"health, hygiene, sanitation, medical",N1
映像,えいぞう,"reflection, image",N1
英雄,えいゆう,"hero, great man",N1
液,えき,"liquid, fluid",N1
役,えき,"war, campaign, battle",N1
閲覧,えつらん,"inspection, reading",N1
獲物,えもの,"game, spoils, trophy",N1
襟,えり,"neck, collar, lapel, neckband",N1
縁,えん,"chance, fate, destiny, relation, bonds, connection, karma",N1
塩,えん,salt,N1
艶,えん,"charming, fascinating, voluptuous",N1
園,えん,garden (esp. man-made),N1
円滑,えんかつ,"harmony, smoothness",N1
縁側,えんがわ,"veranda, porch, balcony, open corridor",N1
沿岸,えんがん,"coast, shore",N1
婉曲,えんきょく,"euphemistic, circumlocution, roundabout, indirect, insinuating",N1
演習,えんしゅう,"practice, exercises, manoeuvers",N1
